;Nd;N_Points;Function_np;Numpy;Tensorflow;Function_jl;Julia (batchmul);Julia (matmul)
0;1;256;0.06600022315979004;0.007754802703857422;0.03101491928100586;0.03799748420715332;13.993605613708496;4.480654716491699
1;1;256;0.05599856376647949;0.001999378204345703;0.015041351318359375;0.048959970474243164;0.24599266052246094;0.005004405975341797
2;1;256;0.05100083351135254;0.00299835205078125;0.01600170135498047;0.04599952697753906;0.21399259567260742;0.008001089096069336
3;1;256;0.05500006675720215;0.0020051002502441406;0.020036697387695312;0.04998183250427246;0.20500421524047852;0.0030002593994140625
4;1;256;0.044036149978637695;0.001994609832763672;0.01748037338256836;0.04850959777832031;0.20005035400390625;0.004030704498291016
5;2;6561;1.099945068359375;0.4529910087585449;0.24799633026123047;0.937974214553833;15.964271306991577;0.9469873905181885
6;2;6561;0.8838284015655518;0.3759429454803467;0.23252367973327637;0.9405016899108887;11.732638597488403;0.9400415420532227
7;2;6561;0.9371376037597656;0.3705880641937256;0.23099303245544434;0.9002120494842529;12.055987119674683;0.9506120681762695
8;2;6561;0.8939764499664307;0.42177653312683105;0.23950481414794922;0.9061169624328613;11.801905870437622;0.9542121887207031
9;2;6561;0.9376938343048096;0.36998987197875977;0.23908782005310059;0.9305503368377686;12.48886489868164;1.010197639465332
10;3;65536;10.763887166976929;38.301377296447754;14.010698080062866;10.189255475997925;556.6884984970093;112.85834336280823
11;3;65536;10.553560018539429;28.096989154815674;13.683911323547363;9.325958490371704;581.9972569942474;124.3660957813263
12;3;65536;10.653147459030151;29.147680282592773;16.423704147338867;10.755187511444092;607.9691309928894;106.76586413383484
13;3;65536;10.711020469665527;28.823702335357666;15.710315704345703;10.573859214782715;594.3277678489685;121.6712281703949
14;3;65536;11.458731412887573;30.291297435760498;16.776416063308716;10.667086839675903;640.5938787460327;99.30340814590454
